No,userName,content,Label
179,fadhli adi,"Aplikasi online yang sangat baik, rekomendasi utk beli di sini. Untuk komplain di feedback dengan baik,tolong di evaluasi komplain KK ipar saya yg mesen bus tanggal 25 Juni 2022 perjalanan dari terminal Bekasi ke padang.",Positif
180,puji laksano,"Harga tiketnya mahalnya kelewat, nyari untungnya kelewatan bngt kmrin saya beli tiket harapan jaya Executiv jurusan tulungagung - kalideres 387 ribu padahal klu beli di kantor harapan jaya langsung cuma 345 ribu. Sangat mengecewakan bngt",Negatif
181,Agung Setyatama,"Kenapa saya mau daftar, selalu gagal mendapatkan kode otp?",Negatif
182,Maulana Pratama,Maaf saya cuma kasih 1 bintang saya liat dari komentarnya yang terbaru . Jadi ragu dan maaf saya uninstal ,Negatif
183,Gunawan Indra Jaya,"Aplikasi sampah, server ga diurus apa gimana? Mau book tiket bus malah error terus gilak niat ga sih bikin aplikasi",Negatif
184,Yt Kudashi,"Jangan pesan tiket disini, admin tidak ramah. Dan tidak membantu sama sekali.",Negatif
185,Yosy Yulistyobudi,"Pemesanan pertama bagus, mudah dan cepat, kenapa pemesanan kedua erorr melulu saat mau melakukan pembayaran, jadi agak Ndak nyaman saya mau lanjut menggunakan app ini",Negatif
186,tanto trans,Aplikasi ngebug terus,Negatif
187,dicky Ramdan,"Sangat kecewa, di aplikasi redBus katanya bisnis, tetapi yang saya dapatkan adalah kelas bisnis ekonomi, si bis nya keluar masuk ke tiap terminal di jakarta dan membuat waktu perjalanan saya dari bandung ke sumatra Selatan semakin lama, dan yang lebih parah nya, harga nya jauh dengan kalau kita ke pool bis nya bisa 30% perbedaan nya, ga usah download aplikasi ini..",Negatif
188,Fattar Ibrahim,"Tiket gagal booking udah transfer refund ga balik balik sampe skrg alesannya ga jelas,,, parah",Negatif
189,Dhanie Dewangga Taef,"Informasi kurang jelas, no telfon tidak sesuai, agen tidak ramah dan tidak informatif, selabihnya kru bus bagus",Negatif
190,cv alfarezi,"Terbantu sekali,dgan aplikasi ini.",Positif
191,Umay Umay,"Sampah, udah pesen, bayar saldo sudah kepotong, tapi status belum bayar, mau complain ga ada cs nya hanya ngobroo dengan robot",Negatif
192,Mr Tamboen,"Recomended, fast respond saat ada gagal akses. Refund cepat.",Positif
193,Muhardinal hardy,Pelayanan kurang bagus,Negatif
194,jajang rohmat hidayat,Banyak eror nya udah di pesen tapi mlh ga bisa.terus jadwalnya jdi ga ada..,Negatif
195,berry. NET,Baru download sekaligus pesan tiket. Semua tanggal kosong gak ada yang bisa di pesen tiketnya. Mohon di perjelas!,Negatif
196,Muhammad Sadad,"Uang saya belum berhasil di refund, padahal saat pembelian tiket bis keterangan dan pilihan bis nya ada, tapi setelah di pesan tiba tiba bis yg di pesan sudah tidak ada dan uang nya sudah di transfer. Tolong kerja sama nya, sampai sekarang uang nya belum kembali. Udah sampai 10 hari.",Negatif
197,nji kun,transaksi sering gagal,Negatif
198,aditya indra,Kecewa uang refund saya dr tgl 31 Mei sampai krng blm d transfer balik k rekening saya,Negatif
199,Dwi Angga Nur Ikhsan,Gak Lengkap armada bus nya. Apalagi route Jakarta ke Pagar Alam belum ada. Tolong dilengkapi dong untuk unit armada bus nya.,Negatif
200,Pandu Nasuun,Kau hapus ajalah applikasimu ini .. Gak guna sama sekali .. Bus sumatera gak ada sama sekali ,Negatif
201,Tommy Abdul Gofar,"Saya pengguna baru platform aplikasi RedBus. Untuk respon customer carenya sudah sangat baik dan responsif ketika menerima masukan. Saran untuk kedepannya diperbaiki kembali, terkait titik lokasi penjemputan, agar sesuai. Terutama bagi orang-orang yang melakukan perjalan wisatawan domestik / keperluan kantor lainnya. Sukses selalu untuk ReBus",Positif
202,muzakifuz,"PO Bus minta uang tambahan diluar harga Redbus. Setelah saya bayar, tiket malah dibatalkan sepihak oleh PO Bus. Minta refund nggak direspon, dan yg di kembalikan oleh PO Bus hanya uang tambahan yg diluar harga Redbus. Im so sorry I have to say this here. Saya akan hapus setelah ada respon dari pihak redbus. [EDIT] tiket sudah di refund, keep it up redbus. masih banyak yg perlu diperbaiki.",Positif
203,Sebastian Raven,"Kadang errorrr kadang bener, delet aja ah",Negatif
204,AL faizi,Redbus mantap..Berangkat dengan selamat dari Mataram Lombok tujuan terminal Kalideres,Positif
205,Eko Kusdianto,"Saya pesan tiket Dari Agen teriminal kalideres,ternyata suruh cetak tiket nya di terminal Poris,udah waktu nya mepet kesana kesini ribet. Harus adu mulut dulu baru mau di cetak tiket nya di kalideres. Tolong di perbaiki lagi,jgn seprti kejadian itu lagi.nanti yg ada pelanggan nya pada pindah aplikasi.",Negatif
206,Indrawahyu Kusuma,"Gajelas banget aplikasi ini udah beli tiket titik jemputan udah pas, terus ga dijemput sama pihak busnya mau ngajuin pengembalian dana ga bisa, malahh katanya bus sudah menunggu di titik jemputan tapi anda tidak datang ihhh gajelasss",Negatif
207,Irone Kurniawan,Sangat membantu sippp lah buat redbus goodjob ,Positif
208,Lian Putranto,"Dapat kursi tidak sesuai pemesanan, nomor cs nya juga tidak ada",Negatif
209,Rizky Ponco,Aplikasi penipuan. Sudah transfer uang tapi tiket tidak terkirim dengan alasan agen kami sedang sibuk semuanya.. sampah!!!!,Negatif
210,Sholihin arien,Alhamdulillah... Boleh membantu dari lambat jadi cepat.. Sebab praktis.,Positif
211,Charis Muhammad,"Pembayaran cepat, bisa milih kursi, rating bus tersedia. Kekurangannya cuma banya typo pada menu but okay lah",Positif
212,Bilal Muttaqin,"Parah.. Banyak errornya.. Tiket terusan ngga bisa digunakan.. Di aplikasi tdk ada layanan kritik, saran & keluhan. Nyari kontak cs nya jadi sulit. Solusi dr cs nya ngga membantu, jadi rugi deh ngga bisa kepake tiket terusannya..",Negatif
213,EVA DEWI NURLATIFAH,"aplikasi yang sangat membantu dalam memesan travel, sehingga lebih memudahkan perjalanan",Positif
214,Rizky Saputra,Saya beli tiket bis udah bayar tapi tiket tidak ada terus saya mengajukan pengembalian dana sampe sekarang dana tidak di kirim dari tanggal 19 april sampe sekarang tolong lh di perbaiki sangat merugikan banget,Negatif
215,Faozi Akh,Kepercayaan aku dalam ber transportasi simple cara bookingnya. Tolong banyakin diskonnya ya,Positif
216,Rahul Reihan,"Mantappp, murahh terjangkau dan dapet promo",Positif
217,Mohammad Athoillah,"Aplikasi sampah, cs nya ga mau tanggung jawab, cuma penumpang yang di rugikan, telfon bolak balik respon sama. Ga usah pake aplikasi gini lagi deh",Negatif
218,Riprado Prabowo,"Uang saya hilang 518 tb, tiket tidak berhasil dipesan tapi uang sudah masuk, tidak ada solusi",Negatif
219,Anugerah Dewa,Aplikasi jelek jgn di download tdk banyak pilihan busnya...,Negatif
220,Bambang Sugiyanto,"Jadi mudah, juga tenang berangkat dari rumah karena sudah ada tiket ....membantu banget kalau mau bepergian/pulkam....",Positif
221,Ebtian Apriantoro,Mantap dan mudah,Positif
222,Moch Saiful Anwar N.P,Entah saya yang gk tau sistem pengembalian uangnya atai emang gimana. Saya sedikit kecewa aja ada program pengembalian uang tapi belum kembali. Padahal sudah lewat dari ketentuan 5 hari setelah pemberangkatan. Mungkin saya juga kapok pesan tiket online.,Negatif
223,Diana Ginting,Aplikasi sampahhh masak loding muluuu tiap mau cari titik terminal,Negatif
224,Deni Prawira,"Udah pesen di redbus,pas mau berangkat disuruh nambah 90.000 lagi di loket po bis dg alasan ada kenaikan tarif",Negatif
225,Uki Alemseee,"Aplikasi jelek, gk update busnya. Klo diklik mau booking selalu hilang.",Negatif
226,kristi yopa Febianti,Aplikasi yang membantu Nomor Hotline fast respon Hanya saja keberangkatan terlambat 4 jam Lebih ditingkatkan lagi pelayanannya ya hingga terjangkau agen per wilayah untuk bisa update keberadaan bus nya. Terima Kasih,Positif
227,Hengki Kursani,"Pelayanan jelek, tidak jelas,seenak nya aja batalin tiket, dan tidak ada kejelasan nya",Negatif
228,Rio Pradana satriawan,"Aplikasi bagus, memudahkan untuk pemasanan & pembayaran.",Positif
229,Sentot Darmawan,Aplikasi yg praktis dan terpercaya,Positif
230,Andreas Duwi Arianto,"Pemesanan simple, opsi pembayaran mudah. Jadwal bus selalu update.",Positif
231,hehey_ notbad,"Ga jelas, di apk ada tertera busnya, pas di pencet mau pesen tiket malah error mulu, trus kenapa di kasi liat busnya ad",Negatif
232,Eriyo Budi Susetyo,Aplikasi redBus sangat membantu,Positif
233,KLETONG Sapi,"aplikasi sampah, pelayanan busuk, cukup sekali aja pakek, untuk temen temen lainya saya sangat tidak merekomendasikan aplikasi ini",Negatif
234,Muhammad Yusuf Zaky,Aplikasi sering eror. Sudah transfer tapi tiket tidak terbit. Nyesel.,Negatif
235,Wahyu Utomo,Sangat bagus sangat membantu,Positif
236,Adit Kusuma,Disarankan agar tdk pesan tiket melalui aplikasi ini. Karena tdk bs dibatalkan dan uang hilang tdk bs kembali. Sungguh mengecewakan.... Cukup tau aj.,Negatif
237,syahril gaffar,Aplikasi Mengecewakan sda bayar tiket bus jurusan Surabaya ke Cirebon. Nggak bisa di jadwal ulang dan pengembalian dana. Padahal jadwal keberangkatan bus masih 26 jam lagi ,Negatif
238,Trisno Bachir,"Aplikasi ngga ada tanggung jawabnya, pesan tiket online sengaja biar bisa nyaman malah bikin sakit hati.berdosa kalian yg udh ambil uang kita. Aplikasi ngga ada kejelasan. Najis banget pesen di sini lagi",Negatif
239,Kurnia Putra,"Sangat mengecewakan, penipuan sudah beli tiket dan sudah konfrimasi titik penjemputan, tapi tidak dijemput, dari pihak apliksi tidak ada konfrimasi begitu juga daru pihak travel, dan tidak ada yang jelas masalah refund...sudah tidak jadi berangkat dan refund pengembalian tidak jelas..diaplikasi yg bales robot. Sangat sangat mengecewakan.",Negatif
240,Muhamad Fahrozi,"Saya sangat kecewa karena tiket saya di undur bahkan sampai di po saya tidak mendapatkan tiket, dari kemarin minggu sampai sekarang uang saya belom juga kembali.",Negatif
241,Hasianda Apriman,Jelek parah... Gak ada yang jelas sama sekali tiket nya,Negatif
242,lychee channel,"Proses cepat, jaminan kursi dan yg pasti respon serta pelayanan CS nya bagus  yang ngulas Negatif, mungkin anda baru belajar pake apk tuk order online",Positif
243,Apri 20,"Informasi ga update, di aplikasi ga ada tiket tapi di loket ada kok, trus gunanya apa aplikasi ini",Negatif
244,Asu Koe,"Kacau, koordinasi antar agen Bus + pihak redbus ga jelas... Mohon di perbaiki, kasian penumpang... Terdampar di terminal kaya org ga jelas... Karcis doank dapet, no. Bus ga ada..",Negatif
245,Tulus Shobirin,"Aplikasi yg sangat membantu saya ,, dua hari langsung bisa dapat bus,, pelayanan memuaskan untuk PO harapan jaya ",Positif
246,Wiguna Hidayat,Saya gagal berangkat naik bus.. Tapi dana saya bisa kembali 100%,Positif
247,Agus Purnomo,"Cepat, mudah, hemat",Positif
248,Satyaprimaarif,"Mengecewakan! Miss booking tiket, tapi akses buat komplain susah, bis udah mau berangkat tiket asli belum di tangan, suruh nunggu feedback yg gak ada kepastian.",Negatif
249,Ananda Kukuh,pelayanan redbus sangat buruk..operator bus menjual tiket namun tidak menyediakan bus sesual jadwal alasan macet dan ditunda sampai hari esok malah penumpang yg jadi korban tidak bisa refound. kalau bgitu pemaksaan harus naik po bus sinar jaya berarti. konfirmasinya pun lama. red bus dan sinar jaya sangat mengecewakan. pertama naik sinar jaya pelayananya sangat buruk. dan redbus juga sama sama mengecewakan. pelayanan redbus sangat burukkkkkkkk,Negatif
250,Perjalanan Hidup,"Bagus.., mudah aplikasinya",Positif
251,Binsar Soit,"Aplikasi sampah, masa saya ingin cancel tiket karena salah tujuan, tidak diberikan, setidaknya uang saya kembali setengah dari harga tiket. Saya gak suka aplikasi ini",Negatif
252,arif febryanda,"Naik sinar jaya ke wonosobo, bus nya tepat waktu baik jam keberangkatan+tiba. Perbanyak kerjasama dengan PO2 bus ternama lainnya",Positif
253,Imran Maulana,LOKASI DATANG BUS GAK SESUAI (TELAT 3 JAM) ARMADA YANG DI PAKAI DALAM KONDISI TIDAK BAGUS (MOGOK²AN BAN BOCOR) TOLONG DONG DI CEK SECARA RUTIN KONDISI ARMADA NYA. YANG GAK LAYAK GAK USAH DI PAKE LAGI,Negatif
254,Yanuar Dwi Prabowo,Diaplikasi tujuan karawang barat setelah dicetak ganti jadi cikampek. .tolong diperbaiki lgi,Negatif
255,Ariani Citra,"Bis selalu ga tepat waktu, selalu nunggu 1-berjam jam.",Negatif
256,indah permata sari,"Apk ga jelas, sudah pesan tiket sudah bayar tiket sudah keluar, eh tiba² di telfon dibilang tiket sudah habis, jelas² waktu pesan masih sisa 3 kursi lagi, uninstall apk kapok dah",Negatif
257,Rafiqi Syauqy,"Sangat bermanfaat, debes lahh..",Positif
258,Yunita Alexandr,Sukakkk... Mempermudah mendapatkan tiket sesuai rute ..harga yg terbaik ... ,Positif
259,Luthfil Hakim,"Sudah bayar langsung lewat online, tp dinyatakan blm bayar, Untung ada bukti pembayaran Tiket pulangnya juga gagal dicancel & direfund",Negatif
260,sandi agung,"Langsung APUS ribet, Ketik tanggal berapapun tdak ad jadwal",Negatif
261,Yusuf M,"Harga di aplikasi tidak sama dengan harga agen waktu keberangkatan, saya sudah transfer sesuai nominal yang tertera di aplikasi, pas di agen disuruh nambah kekurangan beaya lagi. Bagaimana ini Redbus?????????????",Negatif
262,Wachid Muhkarim,Sementara 5 ya selanjutnya kalau lancar kasih 6,Positif
263,Preety Noona,Jangan beli tiket disini. Saya merugi tidak ada kejelasan tiket saya sudah dilunasi ternyata pihak po dan pihak redbus tidak sincron. Pihak po menyatakan sudah terjual habis dan pihak redbus akan di reschedule ulang tapi tidak ada kejelasan nya. Saya gagal berangkat entah kapan berangkat untuk refund pun saya tidak tau bisa apa tidak,Negatif
264,astri indah,Pelayanan tidak baik,Negatif
265,Heri Yanto kurniawan,Tidak sesuia titik keberangkatan pantes lama nunggu mobil dari terminal mna tau Harga ga msalah bos yg penting sekejoul nya titik keberangkatan tepat,Negatif
266,Muhammad Rizky,"Aplikasi sampah,jam keberangkatan tidak sesuai dengan keberangkatan asli,banyak merugikan orang,mana tidak bisa di refund",Negatif
267,ate tea,Jangan pakai aplikasi ini. Lokasi titik keberangkatan ngaco. Kami malah diarahkan ke lokasi pabrik dan tidak bisa kami telpon untuk konfirmasi.,Negatif
268,Agnes Juwanita Kusuma Wardani,Tidak sesuai jam keberangkatan. Disitu tertulis 11.25 tp bus terakhir jam 07.00 dan g da solusi untuk keberangkatan hanya dikembalikan uangnya saja,Negatif
269,Sri Rejeki,Terimakasih utk respon pengembalian dana yg super cepat ... 100% dana kembali,Positif
270,Ridwan Abdulah,"Aplikasi ini perlu dilaporkan, keberangkatan tdk ssuai jadwal, malah saya telpon, malah saya yg dimarahi agen. Agen anjingggg",Negatif
271,bonsai amatir,gak sesuai dengan tiket. katanya bus berangkat jam satu tapi sampai jam 3 g ada keberangkatan. Sungguh mengecewakan,Negatif
272,AGUS GHOZALI,Terimakasihh sudah merspn trubel dan masah dengan sangatcepat... Responnya cepet. Smoga sll jadi yang terbaik,Positif
273,hardian imansyah,"Pelayanan aplikasi buruk, tidak ada pelayanan refund secara otomatis terkait pembatalan tiket. Calon penumpang disuruh membeli jaminan refund secara terpisah. Mana ada orang yang ingin uangnya hangus jika ada pembatalan.",Negatif
274,kirman ahm,Kok gak bisa daftar,Negatif
275,Yudi,"Di oper2 naik bus nya, agen tiket lebih memprioritaskan yg beli langsung d loket, g jelas bus yg mau d naikin, emang lbh baik beli langsung ke loket kyk nya",Negatif
276,ecko setiawan sinaga,Mau menghubungi operator tapi gak ada nomer yang bisa di hubungi .. mau reschedule tiket tapi gak ada nomer yang bisa dihubungi. Maksudnya gimana coba,Negatif
277,Diyyah Eka Wati,Cocok bagus tanpa perlu ke agen2 lage,Positif
278,19.Moslem Steady,Aplikasi ga jelas tiket tiba tiba di cancel saat udah samapi di venue dan pas banget waktunya berangkat. Ga ada customer servis yang menanggapi dengan cepat sehingga membuat kami sangat kesulitan. Mohon di perbaiki segera agar tidak mengulangi kejadian yang tidak profesional ini,Negatif
279,Ahmad Maulana,"Perjalanan jd lebih mudah dgn pembelian online lewat Redbus,mksh Redbus",Positif
280,zae Jee,mengecewakan jangan pernah pakai aplikasi ini tidak ada tanggung jawab kepada customer tidak ada bus tapi tiket tetap di jual,Negatif
281,Didik Ismail,sayaa kasih bintang 1 !!saya kecewa dengan pelayanan redbus saya udah pesen tiket.tapi sesampainya di agen ternyata tidak ada keberangkatan bus.dan tolong di kembalikan uang saya karena saya udah bayar cash ke redbus!!!,Negatif
282,Abdoel Mookri,Pemasangan pertama berjalan dengan baik.semoga yg kdua ini sama atau lebih baik,Positif
283,Zainul Hasan,"Wah cukup membantu dan manfaat, semoga layananx smakin berkah, baru pakai, saran kak, kalau bisa tolong disediakan fitur pengembalian Uang, karena terkadang para pekerja Bus nya ada yg kurang profesional  dan amanah, biar kita pesan dengan tenang, ada jaminan buat uang kembali, kalau pelayanannya salah. Ok  tolong buat pelanggan puas, dan bekerjalah dg Amanah...",Positif
284,Ferry Rafa,Semakin mudah pesan tiket bus,Positif
285,Fatahilah Gobah Diaz,Terimakasih atas pelayanannya,Positif
286,Febry Depok,"2 Minggu udah beli tiket, pas hari h gak ada tiket ya di bus, ini serius gak kalo usaha",Negatif
287,Venita Hartanti,"Sudah di bayar ,tp gak ada kejelasan tiket gak dapet , malah ada pemberitahuan kadaluarsa",Negatif
288,Gatsu 99,Sangat mengecewakan jangan pesen oline mending beli langsung aja lebih di utamakan,Negatif
289,koke,"Aplikasi cacat, gak bisa refund",Negatif
290,antonim wildan,Parah.... Perlu di perbaiki aplikasi ini.... Langsung uninstall aja,Negatif
291,Rifki Firnando_TPPU 1,"Aplikasi sangat buruk, saya pesan tiket dari jauh -jauh hari, pembayaran udah dikonfirmasi, saat saya check in di loket, nomor tiket saya tidak terdaftar, sangat buruk, mohon pertanggungjawaban!",Negatif
292,Anton Antoni,Kurang lengkap perusahaan bus nya.,Negatif
293,Jiko Pranata,"dasar aplikasi gajelas , saya sudah pesan tiket sudah transfer jugaa ke pihak armada , malahh gabisaa dan ga dapet armada nya saya sangat , tolong untuk pihak aplikasi kembalikan uang saya sebesar 400ribu , kalo tidak saya sumpahin laknat perusahaan anda",Negatif
294,Mbah Gaul,Sya lihat di komentar kok banyak feed Negatif. Mungkin belum merata tergantung menggunakan bus PO mana y. Soalnya selama sya pakai. Dah berkali-kali si. 1. Bus tepat waktu (jarang sekali molor). 2. Harga bisa lebih murah dg voucher yg dikasih. Sya makenya bus PO. Nusantara,Positif
295,Rezy Marsellina,"Kecewa dengan pelayanan redbus. Kursi yg tertera di redbus tdk real-time. Banyak bookingan, Dan kursi yg ditawarkan kursi cadangan yg TDK sesuai dengan level bus yg dipesan. Saya pikir pesan tiket bus di redbus sama persis dengan pesan tiket pesawat yg fasilitas kursi dari nomor 1 s.d sekian itu sama, Di redbus,kursi no. 1 tdk sama fasilitasnya dengan kursi no.terakhir di bus. Dan pelayanan dari pihak bus utk yg pesan tiket di redbus sangat buruk. Kapok.",Negatif
296,Rio Hendarta,"Tempat duduk di bis tidak sesuai aplikasi, jam keberangkatan berbeda.",Negatif
297,Kuat Alifa,"Aplikasi sampah.. keterangan di aplikasi berangkat dari pondok ungu, setelah cetak kode ternyata berangkat dari terminal bekasi, waktu udah mepet, dari pondok ungu pergi lagi ke terminal bekasi, ongkos lagi, nyusahin, hampir ketinggalan bus, awal pake aplikasi ini cuma mau coba, apa benar pelayanannya jelek, setelah coba sendiri ternyata memang benar, bintang 1 kalian itu membuktikan kalau aplikasi ini hancur...",Negatif
298,Nanih Haniyati,"Aplikasi nya ga rekomen, harganya lebih mahal tapi untuk booking kursi dan keberangkatan diubah tanpa konfirmasi, Bad lah. Jangan pake aplikasi ini ya.",Negatif
299,Taufik Muhammad,Harganya jadi mahal berkali kali dari asli nya,Negatif
300,Raihan MHeris,"Sejauh ini belum pernh ada refund atau error, great",Positif
301,Raka Kristian,"Hari ini pesan tiket gagal tapi uang sudah transfer dan saya minta untuk refund uang saya. Ternyata proses cepat hanya menunggu 1 jam saja, mantap redBus jadi nyaman buat pesen tiket di apk ini pelayanan CS nya responsif dan memuaskan.",Positif
302,Alfaz Auliya Ramadani,"Menyenangkan bisa pesan lewat online, cuman di tiket setelah pembayaran harusny juga di beri denah tempat duduk si hanya sebelum pembayaran, jd bisa ngecheck lg kalau misal lupa dudukny bagian dekat jendela, sukses terus pokoknya, selamat mendapatkan bintang 3 dengan penilaian objektif , melihat penilaian sebelum-sebelumnya yang berkomentar Negatif lucu sih bacany, intinya kembali lagi pada implementasi bis di lapangan yang bisa jd ada kendala (perjalanan dijalan, macet dll)",Positif
303,Tedriwabian,"Aplikasi sampah udah pesen bis dari beberapa hari malah gak dapat tiket dan agen bisnya sudah tidak bekerjasama dengan redbus aneh nya lagi saya ada bukti transaksi pembayaran dan mendapatkan e-tiket dari redbus untuk bis muji jaya tetapi tidak terbaca oleh system'. Orang nyari duit buat lebaran susah malah ditipu sama aplikasi kayak gini. Tolong yang lain percaya sama saya jangan download aplikasi ini. Janjinya ada refun tapi gak bisa balik duitnya hilang 4 juta buat mudik gara"" aplikasi ini",Negatif
304,Khofifa Nadila,Buruk.. berangkat jam 8 masih belum bisa di klaim tiket bisnya. Anjir emng mana nyampe sekarang belum dapet tiket,Negatif
305,Egi Regiana,Saya mau komplen pembayaran sudah berhasil tapi tiket engga bisa di claim di pool terkait.. dan tidak bisa berangkat.. saya minta uang kembali,Negatif
306,Adit Aprilia,Saya mau komplain harus kemana..? Dari redbuz hanya dikirim nomer tlpon supir dan tidak ada nama supir serta nopol bus nya.. Mana mau lebaran ditipu duit banyak.. Mengecewakan. Jangan pernah pesan dari apk ini,Negatif
307,Muhamad Akbar Supriyadi,"Aplikasi konyol, jelek, ane oesen tiket ngga sesuai harga dan ngga bisa di refund. Saran, ngga usah pake redbus",Negatif
308,iskandar harahap,Sangat gampang utk pesan tiket,Positif
309,GiTsi HaHa,Mudah & cepat,Positif
310,lika imut,"Buruk pelayanan kendaraan nya buruk,di tiket jam 3,tp ternyata berangkat jam 12,dan itu pun tidak sesuai titik yang di aplikasi,bangku pesen nomor 8 maen ganti aja di nomer 6,dari pihak bis pun tidak melayani cust,pembeli di bilang bodoh kenapa beli di aplikasi,saya benar"" kecewa outo uninstall lagi aplikasi nya",Negatif
311,Adit Nugis,"Awal nya udah mau install redbus,kirain kek aplikasi Travel lain,liat komenan banyak yg di rugikan dan kcewa ternyata bukan apk Layanan transportasi, ternyata apk penipuan",Negatif
312,Bontang Bontang,Sangat sangat kecewa. Kirain ada jalur lintas Sumatra,Negatif
313,Eko Sulistianto,Mau cancel tiket nya tidak bisa,Negatif
314,MrRiskyAP,Setelah install ternyata kurang bagus.. susah/tidak di temukan call center.,Negatif
315,AM yusup,"nyesel download, pesen di redbus dari terminal bumiayu ke jakarta, katanya gak ada yg berangkat dari terminal bumiayu, giliran datang langsung banyak",Negatif
316,Danni Hyun,"Kemarin pesen tiket, padahal udah bayar tapi tiketnya habis, agak panik 660k hampir melayang :"") Tapi untung cara komplainnya cepet dan mudah. Semoga lebih ditingkatkan lagi Yaa, makasih redbus",Positif
317,Ego Centrik,Baru pakai mudik tahun ini...gampang...keren...sangat memudahkan. Semoga besok pas jadwalnya aman,Positif
318,achmad ridwan,Aplikasi mudah gampang praktis,Positif
319,Mas Bow,"Sering mengecewakan, Tidak pernah sesuai yg di inginkan Kadang beli executive di kasihnya patas,",Negatif
320,Achmad Turmidzi,Moga lancar tanpa kendala bismillah,Positif
321,Rizal Ade,"Aplikasi gak bener,,. Beli tiket 2 kali gagal.. dikembalikan cuma sekali, yang satunya mau di komplain lagi tapi no yg tertera di cs redbus langsung blokir panggilan saya... Parah",Negatif
322,Abdurohim Chaniago,Mantap sekali klo redbus . Bisa kasih bus yg di ingin kan dan juga jaminan,Positif
323,Muhammad Irawan,"Diskon yang diberikan semakin lama semakin jarang kalau ada pun sedikit, padahal dulu enak, banyakkan diskon, terjangkau. Maaf sudah saatnya harus uninstall dan pindah sebelah karena promonya banyak(hampir per bulan) dan ada grup sosmednya.",Negatif
324,Farizi vlogs,"Sudah pesan tiket 360x2 jauh"" hari untuk tanggal 1.5.22 dngn tiket sudah di konfirm sduah ada tiketnya .3 minggu kemudia ada info by wa ada penyesuaian tiket lebaran dan harus membayara sisanya 360x2 kalo gak tiket akan di censel ini gmn? Tidak ada solusi",Negatif
325,Telukjambe barat Channel,"iklan aja di tv, di sosmed,, tpi ga jelas",Negatif
326,Rahma Inayah,Masa daftar nama bus ny cm ada 2. Nm bis yg dcari juga gak ada,Negatif
327,Harum Johan black,"Nyesel didownload,buang"",kuota,ga ad manfaat ya,,ga ad jadwal bus",Negatif
328,player nob,saran saja : alangkah baik nya jika ada fitur paylater nya. jadi pas mau pulang kampung atau mau jalan2. bisa berangkat duluan bayar bulan depan. #naikbuspakairedbuzz #paylater #berangkatduluanbayarbulandepan,Positif
329,Queensyla Zara,Najis parah banget ini aplikasi penipuan..masa w beli tiket tgl 4 april untuk pulkam tgl 26 udhbtrkonfirmasi..masa tiba2 tgl 15 april ada notif tiket dibatalkan tnpa ada alesan yg jelas..kalau gak niat buka aplkasi tutup aje nih aplkasi,Negatif
330,muhammad prisma,"Sudah bagus, tinggal ada kendala sedikit BUG ketika kita ingin re-scheduled",Positif
331,Mito Casmito,"Harga tarif bus di aplikasi ini gila gilaan mahal banget , beda jauh sama harga tarif di terminal/ agen",Negatif
